ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
tlin1245-p-3-high-ash-prox-indexing-marker,tlin1245,indexing marker,P 3-high ash- PROX,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,3pl-high-def;3pl-high-indf;3sg-high-def;3sg-high-indef,accusative
tlin1245-p-3-low-a-0-indexing-marker,tlin1245,indexing marker,P 3-low a-/0-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,3pl-low-def;3sg-low-def,accusative
tlin1245-s-a-1pl-tu-indexing-marker,tlin1245,indexing marker,S/A 1pl tu-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,1pl,1pl,NONE,accusative
tlin1245-s-a-1sg-xa-indexing-marker,tlin1245,indexing marker,S/A 1sg xa-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,1sg,1sg,NONE,accusative
tlin1245-s-a-2pl-yi-indexing-marker,tlin1245,indexing marker,S/A 2pl yi-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,2pl,2pl,NONE,accusative
tlin1245-s-a-2sg-i-indexing-marker,tlin1245,indexing marker,S/A 2sg i-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,2sg,2sg,NONE,accusative
toho1245-em-2plp-on-main-verb-indexing-marker,toho1245,indexing marker,em- 2plP on main verb,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,2pl,accusative
toho1245-ha-3plp-on-main-verb-indexing-marker,toho1245,indexing marker,ha- 3plP on main verb,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,3pl,accusative
toho1245-m-2sgp-on-main-verb-indexing-marker,toho1245,indexing marker,m- 2sgP on main verb,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,2sg,accusative
toho1245-n-1sgp-on-main-verb-indexing-marker,toho1245,indexing marker,ñ- 1sgP on main verb,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,1sg,accusative
toho1245-no-flagging,toho1245,flagging,NO_FLAGGING,zero,,zepeda1983papago[31-34],AWM,any,any,any,neutral
toho1245-null-marker,toho1245,indexing marker,NULL_MARKER,zero,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,3sg,accusative
toho1245-s-a-indexing-on-auxiliary-indexing-marker,toho1245,indexing marker,S/A indexing on auxiliary,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,any,any,NONE,accusative
toho1245-t-1plp-on-main-verb-indexing-marker,toho1245,indexing marker,t- 1plP on main verb,overt,person+number,"saxton1982papago[109-110];zepeda1983papago[35,61]",DI;AWM,NONE,NONE,1pl,accusative
toll1241-a-3sg-indexing-marker,toll1241,indexing marker,-a 3sg,overt,person+number,holt1999tol[18-31],DI,NONE,3sg,NONE,ergative
toll1241-acc-case-flagging,toll1241,flagging,ACC case,overt,,"holt1999tol[37-38,40-41]",DI,NONE,NONE,Noun-common;Pro,accusative
toll1241-ke-indexing-marker,toll1241,indexing marker,-ké,overt,person+number,holt1999tol[18-31],DI,2pl,NONE,NONE,horizontal
toll1241-ke-kh-ke-m-indexing-marker,toll1241,indexing marker,-ké-kʰ/ké-m,overt,person+number,holt1999tol[18-31],DI,1pl,NONE,NONE,horizontal
toll1241-kh-m-1pl-indexing-marker,toll1241,indexing marker,-kʰ/-m 1pl,overt,person+number,holt1999tol[18-31],DI,NONE,1pl,NONE,ergative
toll1241-kh-m-stress-indexing-marker,toll1241,indexing marker,-kʰ/-m[+stress],overt,person+number,holt1999tol[18-31],DI,NONE,1pl;3pl,NONE,ergative
toll1241-m-indexing-marker,toll1241,indexing marker,-m,overt,person+number,holt1999tol[18-31],DI,2sg;3sg,NONE,NONE,horizontal
toll1241-n-2sg-indexing-marker,toll1241,indexing marker,-n 2sg,overt,person+number,holt1999tol[18-31],DI,NONE,2sg,NONE,ergative
toll1241-n-stress-indexing-marker,toll1241,indexing marker,-n[+stress],overt,person+number,holt1999tol[18-31],DI,NONE,2sg,NONE,ergative
toll1241-ng-indexing-marker,toll1241,indexing marker,-ŋ,overt,person+number,holt1999tol[18-31],DI,3pl,NONE,NONE,horizontal
toll1241-no-flagging,toll1241,flagging,NO_FLAGGING,zero,,holt1999tol[37-38],DI,Noun-common;Noun-inalienable,Noun-common;Noun-inalienable,Noun-inalienable,neutral
toll1241-nom-case-flagging,toll1241,flagging,NOM case,overt,,holt1999tol[40-41],DI,Pro,Pro,NONE,accusative
toll1241-null-marker,toll1241,indexing marker,NULL_MARKER,zero,person+number,holt1999tol[18-31],DI,3sg,1sg,NONE,accusative
toll1241-ph-3pl-indexing-marker,toll1241,indexing marker,-pʰ 3pl,overt,person+number,holt1999tol[18-31],DI,NONE,3pl,NONE,ergative
toll1241-s-indexing-marker,toll1241,indexing marker,-s,overt,person+number,holt1999tol[18-31],DI,1sg,NONE,NONE,horizontal
toll1241-s-stress-indexing-marker,toll1241,indexing marker,-s[+stress],overt,person+number,holt1999tol[18-31],DI,NONE,3sg,NONE,ergative
toll1241-stress-2pl-indexing-marker,toll1241,indexing marker,-[+stress] 2pl,overt,person+number,holt1999tol[18-31],DI,NONE,2pl,NONE,ergative
toll1241-stress-indexing-marker,toll1241,indexing marker,-[+stress],overt,person+number,holt1999tol[18-31],DI,NONE,2pl,NONE,ergative
toll1241-stress-indexing-marker-1,toll1241,indexing marker,-∅[+stress],overt,person+number,holt1999tol[18-31],DI,NONE,1sg,NONE,ergative
